Time [sec]          Ch A [K]  Ch A [K]  
1539460050          46.34     46.34     
1539460092          46.35     46.35     
1539460134          46.36     46.36     
1539460176          46.36     46.36     
1539460218          46.42     46.42     
1539460260          46.41     46.41     
1539460302          46.43     46.43     
1539460344          46.42     46.42     
1539460386          46.46     46.46     
1539460428          46.46     46.46     
1539460470          46.47     46.47     
1539460512          46.47     46.47     
1539460554          46.45     46.45     
1539460596          46.47     46.47     
1539460639          46.44     46.44     
1539460681          46.48     46.48     
1539460723          46.46     46.46     
1539460765          46.50     46.50     
1539460807          46.50     46.50     
1539460849          46.51     46.51     
1539460891          46.54     46.54     
1539460933          46.53     46.53     
1539460975          46.54     46.54     
1539461017          46.53     46.53     
1539461059          46.59     46.59     
1539461101          46.58     46.58     
1539461143          46.59     46.59     
1539461185          46.62     46.62     
1539461227          46.66     46.66     
1539461269          46.68     46.68     
1539461311          46.69     46.69     
1539461353          46.72     46.72     
1539461395          46.67     46.67     
1539461437          46.70     46.70     
1539461479          46.66     46.66     
1539461521          46.70     46.70     
1539461563          46.68     46.68     
1539461605          46.70     46.70     
1539461647          46.70     46.70     
1539461689          46.70     46.70     
1539461731          46.68     46.68     
1539461774          46.70     46.70     
1539461816          46.75     46.75     
1539461858          46.71     46.71     
1539461900          46.74     46.74     
1539461942          46.71     46.71     
1539461984          46.77     46.77     
1539462026          46.71     46.71     
1539462068          46.74     46.74     
1539462110          46.71     46.71     
1539462152          46.75     46.75     
1539462194          46.70     46.70     
1539462236          46.73     46.73     
1539462278          46.71     46.71     
1539462320          46.71     46.71     
1539462362          46.69     46.69     
1539462404          46.66     46.66     
1539462446          46.70     46.70     
1539462488          46.67     46.67     
1539462530          46.69     46.69     
1539462572          46.66     46.66     
1539462614          46.68     46.68     
1539462656          46.65     46.65     
1539462698          46.70     46.70     
1539462740          46.70     46.70     
1539462783          46.69     46.69     
1539462825          46.70     46.70     
1539462867          46.69     46.69     
1539462909          46.70     46.70     
1539462951          46.70     46.70     
1539462993          46.77     46.77     
1539463035          46.79     46.79     
1539463077          46.82     46.82     
1539463119          46.82     46.82     
1539463161          46.85     46.85     
1539463203          46.84     46.84     
1539463245          46.85     46.85     
1539463287          46.83     46.83     
1539463329          46.83     46.83     
1539463371          46.84     46.84     
1539463413          46.84     46.84     
1539463455          46.89     46.89     
1539463497          46.89     46.89     
1539463539          46.91     46.91     
1539463581          46.87     46.87     
1539463623          46.88     46.88     
1539463665          46.88     46.88     
1539463707          46.85     46.85     
1539463749          46.87     46.87     
1539463791          46.84     46.84     
1539463834          46.84     46.84     
1539463876          46.80     46.80     
1539463918          46.85     46.85     
1539463960          46.84     46.84     
1539464002          46.90     46.90     
1539464044          46.88     46.88     
1539464086          46.90     46.90     
1539464128          46.92     46.92     
1539464170          46.89     46.89     
1539464212          46.90     46.90     
1539464254          46.88     46.88     
1539464296          46.91     46.91     
1539464338          46.88     46.88     
1539464380          46.91     46.91     
1539464422          46.89     46.89     
1539464464          46.91     46.91     
1539464506          46.90     46.90     
1539464548          46.87     46.87     
1539464590          46.87     46.87     
1539464632          46.86     46.86     
1539464674          46.89     46.89     
1539464716          46.87     46.87     
1539464758          46.86     46.86     
1539464800          46.87     46.87     
1539464843          46.91     46.91     
1539464885          46.89     46.89     
1539464927          46.91     46.91     
1539464969          46.92     46.92     
1539465011          46.90     46.90     
1539465053          46.88     46.88     
1539465095          46.87     46.87     
1539465137          46.90     46.90     
1539465179          46.91     46.91     
1539465221          46.94     46.94     
1539465263          46.91     46.91     
1539465305          46.94     46.94     
1539465347          46.95     46.95     
1539465389          46.98     46.98     
1539465431          46.97     46.97     
1539465473          46.98     46.98     
1539465515          47.00     47.00     
1539465557          46.99     46.99     
1539465599          47.02     47.02     
1539465641          47.00     47.00     
1539465683          47.03     47.03     
1539465725          47.02     47.02     
1539465767          47.03     47.03     
1539465809          47.02     47.02     
1539465851          47.06     47.06     
1539465894          47.07     47.07     
1539465936          47.08     47.08     
1539465978          47.10     47.10     
1539466020          47.10     47.10     
1539466062          47.13     47.13     
1539466104          47.12     47.12     
1539466146          47.15     47.15     
1539466188          47.13     47.13     
1539466230          47.16     47.16     
1539466272          47.14     47.14     
1539466314          47.17     47.17     
1539466356          47.14     47.14     
1539466398          47.18     47.18     
1539466440          47.16     47.16     
1539466482          47.19     47.19     
1539466524          47.16     47.16     
1539466566          47.15     47.15     
1539466608          47.22     47.22     
1539466650          47.23     47.23     
1539466692          47.21     47.21     
1539466734          47.12     47.12     
1539466776          47.11     47.11     
1539466818          47.09     47.09     
1539466860          47.08     47.08     
1539466902          47.04     47.04     
1539466944          47.07     47.07     
1539466987          47.06     47.06     
1539467029          47.09     47.09     
1539467071          47.12     47.12     
1539467113          47.10     47.10     
1539467155          47.16     47.16     
1539467197          47.14     47.14     
1539467239          47.14     47.14     
1539467281          47.12     47.12     
1539467323          47.14     47.14     
1539467365          47.09     47.09     
1539467407          47.14     47.14     
1539467449          47.08     47.08     
1539467491          47.10     47.10     
1539467533          47.05     47.05     
1539467575          47.06     47.06     
1539467617          47.07     47.07     
1539467659          47.02     47.02     
1539467701          47.05     47.05     
1539467743          46.99     46.99     
1539467785          46.99     46.99     
1539467827          46.97     46.97     
1539467869          46.97     46.97     
1539467911          46.95     46.95     
1539467954          46.97     46.97     
1539467996          46.97     46.97     
1539468038          46.99     46.99     
1539468080          46.98     46.98     
1539468122          46.96     46.96     
1539468164          47.00     47.00     
1539468206          46.97     46.97     
1539468248          47.00     47.00     
1539468290          47.00     47.00     
1539468332          47.04     47.04     
1539468374          47.05     47.05     
1539468416          47.09     47.09     
1539468458          47.12     47.12     
1539468500          47.16     47.16     
1539468542          47.20     47.20     
1539468584          47.23     47.23     
1539468626          47.25     47.25     
1539468668          47.27     47.27     
1539468710          47.29     47.29     
1539468752          47.28     47.28     
1539468794          47.32     47.32     
1539468836          47.32     47.32     
1539468878          47.34     47.34     
1539468920          47.36     47.36     
1539468963          47.42     47.42     
1539469005          47.39     47.39     
1539469047          47.45     47.45     
1539469089          47.42     47.42     
1539469131          47.47     47.47     
1539469173          47.45     47.45     
1539469215          47.45     47.45     
1539469257          47.48     47.48     
1539469299          47.51     47.51     
1539469341          47.55     47.55     
1539469383          47.57     47.57     
1539469425          47.60     47.60     
1539469467          47.60     47.60     
1539469509          47.64     47.64     
1539469551          47.69     47.69     
1539469593          47.74     47.74     
1539469635          47.75     47.75     
1539469677          47.73     47.73     
1539469719          47.78     47.78     
1539469761          47.78     47.78     
1539469803          47.80     47.80     
1539469845          47.79     47.79     
1539469887          47.77     47.77     
1539469929          47.66     47.66     
1539469971          47.63     47.63     
1539470014          47.65     47.65     
1539470056          47.67     47.67     
1539470098          47.75     47.75     
1539470140          47.77     47.77     
1539470182          47.82     47.82     
1539470224          47.78     47.78     
1539470266          47.75     47.75     
1539470308          47.70     47.70     
1539470350          47.74     47.74     
1539470392          47.78     47.78     
1539470434          47.84     47.84     
1539470476          47.84     47.84     
1539470518          47.86     47.86     
1539470560          47.89     47.89     
1539470602          47.71     47.71     
1539470644          47.74     47.74     
1539470686          47.79     47.79     
1539470728          47.92     47.92     
1539470770          47.94     47.94     
1539470812          47.97     47.97     
1539470854          48.02     48.02     
1539470896          48.06     48.06     
1539470938          48.09     48.09     
1539470980          48.10     48.10     
1539471022          48.11     48.11     
1539471065          48.14     48.14     
1539471107          48.13     48.13     
1539471149          48.06     48.06     
1539471191          48.11     48.11     
1539471233          48.11     48.11     
1539471275          48.14     48.14     
1539471317          48.15     48.15     
1539471359          48.15     48.15     
1539471401          48.16     48.16     
1539471443          48.05     48.05     
1539471485          48.06     48.06     
1539471527          48.00     48.00     
1539471569          48.00     48.00     
1539471611          48.03     48.03     
1539471653          48.12     48.12     
1539471695          48.16     48.16     
1539471737          48.22     48.22     
1539471779          48.25     48.25     
1539471821          48.25     48.25     
